Age,Fare,SibSp,Parch,Pclass,Embarked_Q,Embarked_S,Sex_male,Age_score,Embarked Q_score,Embarked S_score,Fare_score,Parch_score,Pclass_score,Sex male_score,SibSp_score,index
22.0,7.25,1,0,3,0,1,1,-0.08167482100738041,0.011747173712704433,-0.03123012787912958,-0.10480326726463754,-0.05483421083717528,-0.18385818329368933,-0.3598863895888057,-0.013079192440837285,1
38.0,71.2833,1,0,1,0,0,0,-0.16098482330569322,0.003030896905721963,0.028969183410837863,0.07558795146909586,-0.05241398021585971,0.18161405801809236,0.3778890700449417,-0.014928709286622072,2
26.0,7.925,0,0,3,0,1,0,-0.038247252862980356,0.009697036360706724,-0.04358343786123045,0.013816561705855428,-0.06470927522409053,-0.20582576508080758,0.3568944042764342,0.04690904892261089,3
35.0,53.1,1,0,1,0,1,0,-0.04814888784453674,0.017073825584379698,-0.02999432120711613,0.06837838042888644,-0.047274939781817266,0.18176937106396918,0.36568084971588954,-0.012861575629441244,4
35.0,8.05,0,0,3,0,1,1,-0.046904505086197694,0.009082080792497432,-0.025533493469421766,0.0014732328856259642,-0.07245771886734052,-0.1950250876576361,-0.35734350494609013,0.04680413030569697,5
0.0,8.4583,0,0,3,1,0,1,0.28564186896192856,-0.0033753843744182355,0.03296159847198367,0.01188989807530795,-0.06963052658811969,-0.18160444739731654,-0.35042254377381193,0.04932686519647131,6
54.0,51.8625,0,0,1,0,1,1,-0.16812051636243822,0.021159564032127837,-0.0241778555969561,0.0759190797383905,-0.06329182607137745,0.1669422636495618,-0.3805924412373431,0.04095519833868402,7
2.0,21.075,3,1,3,0,1,1,0.2742508503142388,0.010447612950498609,-0.030784657055160224,0.0475523373015116,0.05534357575049891,-0.18765741597111205,-0.3515210444230367,-0.1254475394693267,8
27.0,11.1333,0,2,3,0,1,0,-0.03328800719630271,0.006992149497128158,-0.031195107879101944,0.00988571365311168,0.04894682138653698,-0.2021169939537273,0.3459817576957909,0.043104781931288895,9
14.0,30.0708,1,0,2,0,0,0,-0.05768060183091667,0.011746777299646608,0.033892896787469005,0.027960605330981048,-0.05982331294737546,0.08352612311473309,0.38415404923005514,-0.006827768507741983,10
4.0,16.7,1,1,3,0,1,0,0.2832103081856162,0.003900557061462423,-0.024548474264807083,0.03719940369865721,0.05517399784771961,-0.20428661261492673,0.35405369770796286,-0.012964146826873538,11
58.0,26.55,0,0,1,0,1,0,-0.1767919238975526,0.014441499651197209,-0.03313184255286389,0.03075312894371477,-0.08694622936463334,0.18237114688074216,0.3801844911203272,0.032404135229188405,12
20.0,8.05,0,0,3,0,1,1,-0.0720758305183439,-0.005419762884568396,-0.025097512683224604,0.01160391662063846,-0.06084193992450839,-0.1844746282751271,-0.35993568395354636,0.04631738247973262,13
39.0,31.275,1,5,3,0,1,1,-0.18617047514725857,-0.006623819155865744,-0.03135365501341497,0.06492253018988513,-0.031345878865693476,-0.17184662694341216,-0.338351274967979,-0.012911793057502511,14
14.0,7.8542,0,0,3,0,1,0,-0.06244305656629953,0.008086508689198588,-0.029830237965352724,-0.08801811785468551,-0.06027620147163859,-0.2041468058954435,0.3728655868752972,0.04605635175203489,15
55.0,16.0,0,0,2,0,1,0,-0.17204378031337472,0.018530765855576514,-0.02962708459772589,0.024337813149337403,-0.058679449273181306,0.0922735241982783,0.3794688581336767,0.03233518642524187,16
2.0,29.125,4,1,3,1,0,1,0.27999307048880306,-0.003070601407610648,0.023843792291082008,0.03623203963881404,0.05943886408393275,-0.18070757884064642,-0.3673220659672864,-0.14496468728865305,17
0.0,13.0,0,0,2,0,1,1,0.29039266660901686,-0.01089359125215253,-0.02366102178205901,0.010790124678856632,-0.061844939328130906,0.07648808024453972,-0.37264946354798123,0.04374272827980439,18
31.0,18.0,1,0,3,0,1,0,-0.03469112996283713,-5.698492681882213e-06,-0.03630475882092197,0.025916207124921476,-0.0564611187875448,-0.19736723815484886,0.3699390186832959,-0.010689067524195862,19
0.0,7.225,0,0,3,0,0,0,0.27688236606247824,0.02517208169787544,0.032060394367593836,-0.10422359110033452,-0.06830140100667499,-0.1945492557647676,0.3577795906462234,0.04231917467245037,20
35.0,26.0,0,0,2,0,1,1,-0.03914575641047772,0.0178550332282886,-0.026204145052053023,0.031463196536502064,-0.05197013690363442,0.0909912429572415,-0.3826370812451607,0.027665315597783537,21
34.0,13.0,0,0,2,0,1,1,-0.04058050471707309,0.023345040631281865,-0.028290195675334126,0.0029696858271786378,-0.05833220071798759,0.07929946495468711,-0.3765498622089172,0.041190653540439166,22
15.0,8.0292,0,0,3,1,0,0,-0.06357882424973695,-0.009998145523240463,0.022661988428172554,0.01111005121568675,-0.07316330789915584,-0.1994051726979591,0.3591737845925796,0.05221602795487807,23
28.0,35.5,0,0,1,0,1,1,-0.04371996113742739,0.01106214167718525,-0.0361085770181899,0.07427529043547314,-0.05106273338509663,0.17329307193239224,-0.38150995460477105,0.048457519028770255,24
8.0,21.075,3,1,3,0,1,0,-0.0719069386754994,-0.004571396177504912,-0.03013920527070722,0.042049705183819924,0.03338616182856562,-0.20150343424799683,0.3560839673426565,-0.08221717742012125,25
38.0,31.3875,1,5,3,0,1,0,-0.17324108724314122,0.015915579106280924,-0.03170854046548536,0.0516060953612773,0.03869268807156909,-0.19891144484069587,0.3446547705649006,-0.03027112474691897,26
0.0,7.225,0,0,3,0,0,1,0.2836576279760062,0.0087751592989552,0.029638018515304933,-0.11868409812252469,-0.0592157881795139,-0.18076610974707713,-0.3577373164780075,0.03942305048686901,27
